,post_title,post_content,reply_content,target
179,What is better to study for international students at UNSW Sydney: Master of Engineering Science or Master of Engineering?,What is better to study for international students at UNSW Sydney: Master of Engineering Science or Master of Engineering?,None None I really enjoyed the M. Eng. Sc program and still meet people I did the course with professionally. They’re mostly in senior executive level jobs now … so can’t have hurt them! ,living
180,Should I choose Macquarie University or UNSW for undergraduate accounting?,Should I choose Macquarie University or UNSW for undergraduate accounting?,,
181,Is a master’s from UNSW in information systems management worth it?,Is a master’s from UNSW in information systems management worth it?,,
182,Am I likely to get an international PhD scholarship for a physics degree at UNSW if the prospective research adviser wrote a letter of support?,Am I likely to get an international PhD scholarship for a physics degree at UNSW if the prospective research adviser wrote a letter of support?,"From my experience at UNSW, different departments have different amounts and types of scholarship. It is also very competitive to get the grant as many students are vying for them. A letter of support would help but it may not be enough. As the terms of scholarships tend to change over the years, it would be best to approach the department and check for the latest information. ",living
183,What do you know about the masters program in information technology at UNSW?,What do you know about the masters program in information technology at UNSW?,,
184,How is UNSW Sydney for a Master’s in Computer Science (specialization in ML)?,How is UNSW Sydney for a Master’s in Computer Science (specialization in ML)?,,
185,"Which university is better for creative writing, the University of Melbourne or UNSW?","Which university is better for creative writing, the University of Melbourne or UNSW?",,
186,What is the eligibility to get an admission to UNSW for a master of commerce?,What is the eligibility to get an admission to UNSW for a master of commerce?,,
187,"How is a bachelor’s in engineering (Hons) degree in Australia (ANU, UNSW, etc.)?","How is a bachelor’s in engineering (Hons) degree in Australia (ANU, UNSW, etc.)?",,
188,Is it possible for me to be an investment banker in NYC if I do a degree from UNSW? My GPA is around 3.9 (adjusted).,Is it possible for me to be an investment banker in NYC if I do a degree from UNSW? My GPA is around 3.9 (adjusted).,"UNSW = University of New South Wales…? If so, it’s going to be very hard for you to make that trade as a fresh-from-college hire. Apart from the logistical challenges of building connections with New York-based IB employers, there’s the almost totally prohibitive issue of securing US work authorization, which you probably can’t do right out of the gate. Now, perhaps you have US work authorization by virtue of being born to an American parent. Alternatively, you could try getting married to an American (which worked for me!), although that may not quite line up with your wider life plans. Other than by these avenues, there is pretty much no way for even the most motivated of employers to secure a US work visa for you as an entry-level hire. Other than this, the most likely avenue would involve starting out with a local investment banking employer that has a large presence in the United States. Macquarie comes to mind in this respect. There are also plenty of US banks with growing operations in Sydney, so those could represent pathways too. Once you’ve worked for at least a year in a non-US office of a firm, that organization can obtain an L-1 visa for you that enables you to work for that same organization in the US. ",living
189,"How much does the SAT score matter for admission for an Indian student at UNSW, HKUST, McGill, and NUS?","How much does the SAT score matter for admission for an Indian student at UNSW, HKUST, McGill, and NUS?","For NUS & HKUST, something around 1520 would be great. Anything below 1460 could be dangerous. For McGill, 1400 is good. For UNSW, SAT is not mandatory I reckon. But, 1400 would be great. What are you applying for? ",living
190,"I am planning to pursue Master of commerce (marketing) from UNSW, Sydney. Is it worth it in terms of course quality and job prospect?","I am planning to pursue Master of commerce (marketing) from UNSW, Sydney. Is it worth it in terms of course quality and job prospect?","I am not aware of the University Reputation that you have mentioned. But as per my experience I am sharing my opinion. Students often spend lakhs of Rupees on education to get a tag of Graduation or Master from a University and later on regret it as they haven't learned anything from the course. I believe a person should focus on knowledge and skills enhancement in order to achieve what they desire. In India Many prestigious Institute Like IIM exist which provide you a platform from where you can achieve the heights you desire. But in order to get admission in those Institute a person have to clear CAT entrance examination which is quite tough. But when you prepare for such examination your focus is always on self improvement which helps you in the longer run. Also anything in which you have put your hard work and sincerity will always help you. One most important thing in order to achieve what a person desire, lots of Blessing are required and people can earn those Blessing by helping poor, feeding food to street dogs and growing trees. All these good deeds will help you and also don't do anything wrong to anyone either intentionally or by mistake. ",food
191,"Which college is better for a masters of commerce (finance specialization) in Australia, UNSW or UNSD?","Which college is better for a masters of commerce (finance specialization) in Australia, UNSW or UNSD?",,
192,Is structural engineering a good course for a postgraduate degree in UNSW?,Is structural engineering a good course for a postgraduate degree in UNSW?,,
193,How good is a master's of marketing course from UNSW business school?,How good is a master's of marketing course from UNSW business school?,,
194,Which university is the best choice to studi IMC or digital marketing in Australia: UNSW or Queensland University of Technology?,Which university is the best choice to studi IMC or digital marketing in Australia: UNSW or Queensland University of Technology?,,
195,Where are the best places to eat around UNSW and in Coogee Beach?,Where are the best places to eat around UNSW and in Coogee Beach?,,
196,How difficult is it to get the future of a change scholarship at UNSW?,How difficult is it to get the future of a change scholarship at UNSW?,,
197,Should I take Information Systems at SMU or Computer Engineering at UNSW?,Should I take Information Systems at SMU or Computer Engineering at UNSW?,,
198,Is an online postgraduate diploma from UNSW useful?,Is an online postgraduate diploma from UNSW useful?,,
199,How worthwhile would a Master’s be in geotechnical engineering from UNSW Australia?,How worthwhile would a Master’s be in geotechnical engineering from UNSW Australia?,Yes! University of South Wales is a very reputed. Its in top 50 in the world. ,living
200,Is the Georgia Tech Master of Analytics better than UNSW Master of Analytics?,Is the Georgia Tech Master of Analytics better than UNSW Master of Analytics?,,
201,Should I attend UNSW or Lehigh University for biomedical/biological engineering?,Should I attend UNSW or Lehigh University for biomedical/biological engineering?,"I have tried to look up UNSW and only got the University of South Wales so I don’t know what school you are talking about. Lehigh is a top rated school. Try to remember this, the more competitive (highly rated) a school is, the better your chances of getting a good job afterwards. I know nothing of Lehigh but I’m sure you would get a great job after graduation. Most people should try to get into an in-state public school because of the lower tuition rates. Most states have at least one public school that is highly rated. If money is no object, or if you can land a scholarship to a school, then try to get into the best school no matter what your major is. Obviously you must find a school that offers you the program you want. The bottom line is it doesn’t matter where you go for this particular program you are seeking to land a good job. Lot’s of schools offer this program. Good Luck! ",living
202,"For an undergrad in electrical engineering, is UniSydney or UNSW better, as far as course content goes?","For an undergrad in electrical engineering, is UniSydney or UNSW better, as far as course content goes?",As far as I know.. Nothing matters until you have the craving to learn. If you want to learn more you will be able to study those extra topics better. I guess it would better for you if you yourselfe go and study the course contents study about the faculty there. Rather than taking advise from others. Its you who knows the best what is better for you. ,living
203,What do you know about the UNSW fellowship program?,What do you know about the UNSW fellowship program?,,
204,Does UNSW accept tier-3 university Indian students for MS programmes?,Does UNSW accept tier-3 university Indian students for MS programmes?,,
205,Which university do you think is better for pursuing MIT course and learning IT skills: UNSW or University of Melbourne(UoM)?,Which university do you think is better for pursuing MIT course and learning IT skills: UNSW or University of Melbourne(UoM)?,There are few factors which you need to be aware of: ,living
206,What material would you bring for the open book UNSW maths competition?,What material would you bring for the open book UNSW maths competition?,,
207,"Which would be better, Master of Engineering Science from UNSW or Master of Professional Engineering from University of Sydney?","Which would be better, Master of Engineering Science from UNSW or Master of Professional Engineering from University of Sydney?","Thanks for the A2A. I have answered similar queries on Quora previously. I would like to say that the MEngSc offered at UNSW is a good option though it's essentially a Master’s by Coursework degree. I have seen a lot of people including myself studying that particular course and climbing up the academic ladder to become PhDs, Postdocs, and even lecturers. I guess the course at UniSyd will be similar. I would suggest you to take either, pursue seriously and be proactive. Good luck! ",living
208,Is it easy to get a medical degree after the foundation in UNSW?,Is it easy to get a medical degree after the foundation in UNSW?,,
209,How good is UNSW for nuclear engineering compared to those Paris-Saclay or Bristol?,How good is UNSW for nuclear engineering compared to those Paris-Saclay or Bristol?,,
210,"Which is better for a bachelor’s in international relations, UNSW or Monash?","Which is better for a bachelor’s in international relations, UNSW or Monash?",,
211,"Is UNSW Art & Design, RMIT, or ANU Art & Design better?","Is UNSW Art & Design, RMIT, or ANU Art & Design better?",,
212,What is it like to study a creative writing major at UNSW Sydney?,What is it like to study a creative writing major at UNSW Sydney?,,
213,"Is it easy for an international student to get a job in Sydney, Australia after graduating from UNSW as a BSc in CS?","Is it easy for an international student to get a job in Sydney, Australia after graduating from UNSW as a BSc in CS?",,
214,Is IELTS necessary for UNSW even if you score A2 in aissce (India)?,Is IELTS necessary for UNSW even if you score A2 in aissce (India)?,,
215,Do we need to provide IELTS if MOI is English to get into UNSW?,Do we need to provide IELTS if MOI is English to get into UNSW?,,
216,"How is life after studying for an MS in structural engineering from UNSW, Sydney?","How is life after studying for an MS in structural engineering from UNSW, Sydney?",,
217,How do I obtain a PhD scholarship in UNSW for Indians without publishing paper after grabbing admission in the same?,How do I obtain a PhD scholarship in UNSW for Indians without publishing paper after grabbing admission in the same?,,
218,What is the biggest difference between UNSW and USYD? Which one is better in the field of information systems?,What is the biggest difference between UNSW and USYD? Which one is better in the field of information systems?,,
219,"Which one is better: studying Data Science at UNSW, Computer Science at University of Sydney, or Mathematics at Australian National University?","Which one is better: studying Data Science at UNSW, Computer Science at University of Sydney, or Mathematics at Australian National University?","None Details: “I really like those 3 fields, hence I applied to different majors for all the universities. I am mostly interested at the student environment and also job offers (as an international student).” Until you are admitted to universities, you will not have the actual costs of attendance, and the fact that you have three different majors, you do not have clear cut benefits. What this means is you cannot do a cost benefit analysis to determine which university is the better economic choice. As far as job placement, job placement depends on what you accomplished in your program and cannot be predicted a priori because the number of available jobs depends on a future volatile job market. From an employment prospective, computer science has more entry level jobs than data science or mathematics. Finally, student environment is too subjective to be a deciding factor. Australian National University is located in the capital, so student experience would be different from both UNSW and University of Sydney that have access to Sydney. ",living
220,"Which is better for Master's in Computer Science with ML specialization, UNSW Sydney or ANU?","Which is better for Master's in Computer Science with ML specialization, UNSW Sydney or ANU?",,
221,"Which one should I choose for civil engineering, UNSW or University of Waterloo?","Which one should I choose for civil engineering, UNSW or University of Waterloo?",,
222,I have 93% in 10th and 91%in 12th and my IELTS score is 7 can I get admission in UNSW with scholarship?,I have 93% in 10th and 91%in 12th and my IELTS score is 7 can I get admission in UNSW with scholarship?,,living
223,Are there any difference between the teaching style for an IT postgraduate program between UNSW and University of Melbourne or University of Sydney?,Are there any difference between the teaching style for an IT postgraduate program between UNSW and University of Melbourne or University of Sydney?,Personally I think teaching styles are dependent on the Professor than the University. The course syllabus is just a framework and it depends completely on the Professor how he covers it. Some Professors I had had 3 practical assignments and the final exam had very little weigtage in terms of your final marks. While other Professors gave equal weightage to assignments and exams. So the same course in the same University taught by 2 different Professors can be completely different. ,living
224,How does a foreign national get into UNSW for graduate (MS/MEng) courses?,How does a foreign national get into UNSW for graduate (MS/MEng) courses?,,
225,Why don't top-rated Australian universities like UNSW and UTS ask for a CV or SOP to get admission into a course work PG program?,Why don't top-rated Australian universities like UNSW and UTS ask for a CV or SOP to get admission into a course work PG program?,"This has been a matter of debate that these universities should have a transparent and merit based admission process . They do have their own criteria for assessing the profile of students apart from this ,they do have authorized agents who attract students for admission in these universities and based on their profile ,they recommend them for admission. ",living
226,"Which one is better for a master’s in architecture: UNSW, RMIT or University of Melbourne?","Which one is better for a master’s in architecture: UNSW, RMIT or University of Melbourne?",,
227,"How can I get admission in UNSW for a B.Tech, except through the SAT?","How can I get admission in UNSW for a B.Tech, except through the SAT?",,
228,"I have to choose between two universities, UNSW Australia and University at Buffalo USA, for bachelors in Computer Science. Which should I pick?","I have to choose between two universities, UNSW Australia and University at Buffalo USA, for bachelors in Computer Science. Which should I pick?","Probably going to seem biased here, but I will pick UNSW. UNSW has one of the best computer science programs in Australia, with many of the students getting job offers from Google, Microsoft, Amazon, Apple, Dropbox and then relocating to the Bay Area. Just a note though, rankings of universities reflect reputation on research, and not in terms of undergraduate teaching quality. I’m not sure of the teaching quality and marking at SUNY Buffalo but I can confirm UNSW is very rigorous with regards to their computer science programs. I can confirm that some subjects mark not only to a bell curve but also harmonic and geometric means (which means you can get penalised harder for inconsistent performances). Not to mention that if you come from a country that is not either Australia or the United States, then you will most likely be paying full fee upfront. In that case, UNSW would be much cheaper. Not to mention that UNSW is easier to gain entry to (probably harder to exit because course is more difficult). ",living
229,What are some fun and creative general education courses in 2019 at UNSW?,What are some fun and creative general education courses in 2019 at UNSW?,,
230,How good is doing masters in structural engineering from UNSW?,How good is doing masters in structural engineering from UNSW?,,
231,"How hard is UNSW I general, and in specific the construction management program?","How hard is UNSW I general, and in specific the construction management program?",,
232,Is there any special accommodation for girls in UNSW?,Is there any special accommodation for girls in UNSW?,,
233,Which JD offer should I accept between Melbourne and UNSW?,Which JD offer should I accept between Melbourne and UNSW?,,
234,Is getting into a decently ranked university in the USA better than getting into ANU and UNSW of Australia as a transfer student of computer science?,Is getting into a decently ranked university in the USA better than getting into ANU and UNSW of Australia as a transfer student of computer science?,"The Australian National University and the University of New South Wales are highly competitive internationally. If you are an Australian citizen then the access to Government supported fees and loans make the local universities highly attractive in value for money terms. You don't say what you regards add a “decent ranked university in the USA”. The Ivy Plus schools have a great reputation. For anything else, the Australian schools can match them. ",living
235,"What is it like to study for an MBA at UNSW (AGSM), Sydney, Australia?","What is it like to study for an MBA at UNSW (AGSM), Sydney, Australia?",,
236,Is it better to stay at the Uni-hostel or share an apartment for a student at UNSW?,Is it better to stay at the Uni-hostel or share an apartment for a student at UNSW?,,
237,Is it possible to do Postdoc at JPL after a PhD from UNSW Australia?,Is it possible to do Postdoc at JPL after a PhD from UNSW Australia?,None ,living
238,Is getting an EE & master of EE better than an EE & CS (both are the same amount of years at UNSW)?,Is getting an EE & master of EE better than an EE & CS (both are the same amount of years at UNSW)?,"Money aside. The question should be; What do you want to do? The money will come with both combo degrees. If you are already down with EE as a base, then math shouldn’t be a problem. CS is a lot of Math along with basic methodology and language particulars. That is, How many ways can you represent an If/Then statement or a FOR loop? On the ME route, IMHO, Strength of Materials and/or Fluid Mechanics is different and will broaden your knowledge of Engineering. A combo of EE and ME will most likely keep you busy in the electro-mechanical field while a combo of EE and CS may lead you in the direction of cloud and/or Data Science route. I can sympathize with you. I, personally, took the EE/CS route and am now a Data Scientist and am happy with the position. ",living
239,I am coming to study MSc in Systems and Control at UNSW Australia. What are my chances of having a good career and securing a good job in Australia after my studies?,I am coming to study MSc in Systems and Control at UNSW Australia. What are my chances of having a good career and securing a good job in Australia after my studies?,"I wouldn’t rely on chances if i were you, just go for your studies make the best of it,try to make as good connection as you can, try some volunteering,join clubs and part time jobs concerning your career trust me people will notice you and eventual you will be able to easily secure the job in that place, well do you want me to tell you that you have 100% chances to secure the job in australia after completing your studies? that is betting so insteady of betting just live the reality and make your dreams come true cause you are the only one who can answer correctly the question you just asked. ",living
240,How is the job scenario in UNSW for a master’s in telecommunication?,How is the job scenario in UNSW for a master’s in telecommunication?,,
241,How is Australia for electrical engineering job wise? I have been admitted to UNSW for electrical engineering masters?,How is Australia for electrical engineering job wise? I have been admitted to UNSW for electrical engineering masters?,,
242,What suggestions can be provided to a prospective future student undertaking postgraduate structural Engineering in UNSW?,What suggestions can be provided to a prospective future student undertaking postgraduate structural Engineering in UNSW?,,
243,What did people not tell you about living in UNSW Sydney but you found out in the first weeks or so?,What did people not tell you about living in UNSW Sydney but you found out in the first weeks or so?,,
244,How long does the University of Sydney and UNSW take to respond to an application in general?,How long does the University of Sydney and UNSW take to respond to an application in general?,,
245,"How difficult is it to get a job in marketing after studying from UNSW, Australia?","How difficult is it to get a job in marketing after studying from UNSW, Australia?",,
246,"Which is better, an M.Com from UNSW or an MBA from UTS?","Which is better, an M.Com from UNSW or an MBA from UTS?",,
247,How is the placement scenario after graduating from UNSW with an M.Com extension in finance?,How is the placement scenario after graduating from UNSW with an M.Com extension in finance?,,
248,Can an I (Indian student) apply for a Commonwealth Master’s Scholarship for studying in Australia (UNSW)?,Can an I (Indian student) apply for a Commonwealth Master’s Scholarship for studying in Australia (UNSW)?,,
249,"How good is the master’s program in data science among the University of Melbourne, Monash University, UNSW, ANU, the University of Adelaide, and Queensland?","How good is the master’s program in data science among the University of Melbourne, Monash University, UNSW, ANU, the University of Adelaide, and Queensland?",,
250,Is it worth it to join a master in telecommunication at UNSW?,Is it worth it to join a master in telecommunication at UNSW?,,
251,How is it worth to have a master’s coursework in structural engineering from UNSW?,How is it worth to have a master’s coursework in structural engineering from UNSW?,,
252,How are the employment opportunities upon the completion of a master’s in IT from UNSW?,How are the employment opportunities upon the completion of a master’s in IT from UNSW?,,
253,What is the name of the professor who worked on cloud formation and worked in the UNSW?,What is the name of the professor who worked on cloud formation and worked in the UNSW?,,
254,Where should I stay when I arrive in Sydney? I am an international student that is looking for a temporary place to stay while I get my campus accommodation at UNSW.,Where should I stay when I arrive in Sydney? I am an international student that is looking for a temporary place to stay while I get my campus accommodation at UNSW.,"Contact UNSW (accommodation office) from wherever you are now. You should be able to work with them to organise accommodation. Depending on the dates that you need accommodation, you may be able to get a room in a Hall of Residence. Otherwise, backpackers, friends (of friends) or AirBnB, as mentioned are probably your best options. ",living
255,How hard is it for an international student from UNSW with a master in CS to find a job in Australia after graduation?,How hard is it for an international student from UNSW with a master in CS to find a job in Australia after graduation?,,
256,How good or bad is a supply chain MS course at UNSW?,How good or bad is a supply chain MS course at UNSW?,,
257,I’m currently planning to do an undergraduate in Computer Science from UNSW or UTS? Would you recommend UNSW? And any other information regarding the university that I should know will be greatly appreciated.,I’m currently planning to do an undergraduate in Computer Science from UNSW or UTS? Would you recommend UNSW? And any other information regarding the university that I should know will be greatly appreciated.,,
258,I'm a PG student at UniNSW spending $90K and there is a local college called Holmes offering same degree @ $30K. Shall I transfer or stay at UNSW?,I'm a PG student at UniNSW spending $90K and there is a local college called Holmes offering same degree @ $30K. Shall I transfer or stay at UNSW?,"I have never heard about a college called Holmes in Sydney until this question, despite spending a great deal of my life studying and working in Australian universities. None By contrast, UNSW is a member of Group of 8, one of the finest universities in Australia. Its standing in Australia is similar to that of MIT in the US. The choice of whether to transfer or stay is of course up to you. ",living
259,How good is development studies in UNSW?,How good is development studies in UNSW?,,
260,Which is the best university to study computer science; UMelb or UNSW or UTS?,Which is the best university to study computer science; UMelb or UNSW or UTS?,,
261,"Which is a better university for undergraduate Computer Science/Software Engineering: Monash University, UNSW or the University of Sydney?","Which is a better university for undergraduate Computer Science/Software Engineering: Monash University, UNSW or the University of Sydney?",,
262,"Would you go to the University of Manchester or the top Australian schools (Monash, UNSW, Queensland) for a PhD in Finance?","Would you go to the University of Manchester or the top Australian schools (Monash, UNSW, Queensland) for a PhD in Finance?",,
263,"Which would be better to do masters in Information Technology, Uni of Sydney or UNSW?","Which would be better to do masters in Information Technology, Uni of Sydney or UNSW?",,
264,Which university is better for an ME in renewable energy: ANU or UNSW?,Which university is better for an ME in renewable energy: ANU or UNSW?,,
265,What is the value of getting a graduate degree in information technology from UNSW Australia?,What is the value of getting a graduate degree in information technology from UNSW Australia?,"If you will be an international student and it’s a 2 year or longer course (two academic years (92 weeks) study) that is registered with CRICOS, there is value in doing such a course if you are looking to get PR in Australia in the future. You will meet the Australian Study Requirement (ASR) which means that: • you should be able to get a subclass 485 Temporary Graduate visa which will allow you to stay and work in Australia for up to 2 years • work in Australia on a 485 visa could provide points for Australian work experience • you will get additional points on the points test for meeting the ASR An Australian degree and work experience will help with getting a positive skills assessment from the Australian Computer Society (ACS) which is a mandatory requirement for any points tested visa ",living
266,What is the best university I can apply to if I graduate from the UNSW Foundation Program?,What is the best university I can apply to if I graduate from the UNSW Foundation Program?,,
267,How hard is it to get into the UNSW Master of International Business program?,How hard is it to get into the UNSW Master of International Business program?,,
268,How do I use UNSW-NB15 data set files in machine learning algorithms?,How do I use UNSW-NB15 data set files in machine learning algorithms?,,
269,"Between an offer for psychological science at UNSW (without honors) and University of Queensland with honors, which should I pick? I am interested in organisational psychology or getting a job in the business realm using psych.","Between an offer for psychological science at UNSW (without honors) and University of Queensland with honors, which should I pick? I am interested in organisational psychology or getting a job in the business realm using psych.",I do not know either university but a degree without honours is usually considered to be lower than a 3. A 2.2 is considered average in the U.K. The BPS used to deny entry to anyone lower than a 2.2. Does this apply in Australia? I’d check this first otherwise you may never be allowed into the profession. ,living
270,"Which university is better, a master’s in data science at Monash or a master’s in data science at UNSW?","Which university is better, a master’s in data science at Monash or a master’s in data science at UNSW?",Flex Analytics Bangalore is the best one!! ,living
271,"What are the tuition fees for a master’s degree in petroleum engineering from UNSW, Australia for international students?","What are the tuition fees for a master’s degree in petroleum engineering from UNSW, Australia for international students?",,
272,"What university is best for a Bachelor of Accounting in Finance among UNSW, University of Melbourne, Macquarie University or Monash University?","What university is best for a Bachelor of Accounting in Finance among UNSW, University of Melbourne, Macquarie University or Monash University?",,
273,How’s the life of a female Indian student pursuing a bachelor’s in UNSW Sydney?,How’s the life of a female Indian student pursuing a bachelor’s in UNSW Sydney?,,
274,"Which university is better for engineering, Monash University or University of New South Wales (UNSW)?","Which university is better for engineering, Monash University or University of New South Wales (UNSW)?",,
275,"Which is better in urban planning postgraduate programme, UNSW or USYD?","Which is better in urban planning postgraduate programme, UNSW or USYD?",,
276,"Which course should I choose at UNSW, software engineering or computer science with honours (4 years)?","Which course should I choose at UNSW, software engineering or computer science with honours (4 years)?",,
277,Why are there no postgraduate scholarships for IT at UNSW? Sydney and Melbourne offer quite a good number in comparison.,Why are there no postgraduate scholarships for IT at UNSW? Sydney and Melbourne offer quite a good number in comparison.,"I can’t speak to the specifics, but usually scholarships in Australia are funded by donation or bequest. The absence of such a scholarship at UNSW could simply mean that nobody has donated the money to finance such a scholarship (usually scholarships take big money to set up, even if they only pay a few thousand dollars per year), and that any large IT companies perhaps have taken the view that Sydney and Melbourne are producing “better” graduates - possibly as a result of the existing scholarships - and haven’t decided to spend money elsewhere. ",living
278,"Should I take a master’s degree in Aviation Management at UNSW, Australia? I prefer a stable career path abroad and settlement opportunities.","Should I take a master’s degree in Aviation Management at UNSW, Australia? I prefer a stable career path abroad and settlement opportunities.","Speaking as an immigrant to the United States, there is a chance to work in the US if there is a demand of people that far exceeds the supply of people in the Country you want to move to, you have a Company that want to hire you, and they are willing to sponsor you for a work visa. This is usually so difficult that you have to be highly specialized with work experience in that area for a company to go through the red tape to get this done. There is a second path you may want to investigate … that of military service. I beleive that there is a path to citizenship in the US if you serve as an enlisted soldier in the military. I did not do this personally, so you may want to check this out further. ",living
279,"Where should I do my Master, at UNSW in IT or at Swinburne in Data Science (with a 25% scholarship)?","Where should I do my Master, at UNSW in IT or at Swinburne in Data Science (with a 25% scholarship)?","IT is one different strand to Data Science as another, so you need to first decide what it is you want to achieve? None From the 2 choices, in terms of pure name, UNSW. ",living
280,"Which one is better, University of Melbourne or UNSW for an MS in data science and an MS in computer science?","Which one is better, University of Melbourne or UNSW for an MS in data science and an MS in computer science?",,
281,"Which is best business school to do Masters (In in Australia)? I got admitted from UNSW. How about RMIT, University of Tasmania, UQ and University Of Wollogong?","Which is best business school to do Masters (In in Australia)? I got admitted from UNSW. How about RMIT, University of Tasmania, UQ and University Of Wollogong?",,
282,Will the seats for a Master's in Structural Engineering at UNSW (University of New South Wales) get filled up by the end of May?,Will the seats for a Master's in Structural Engineering at UNSW (University of New South Wales) get filled up by the end of May?,,
283,Can I study a master’s of engineering at UNSW without the IELTS result?,Can I study a master’s of engineering at UNSW without the IELTS result?,,
284,Which course is better; MPH/Health Management (dual degree) from UNSW or MPH from Univ of Queensland?,Which course is better; MPH/Health Management (dual degree) from UNSW or MPH from Univ of Queensland?,,
285,"Which is the best university in Sydney for a master’s in Information Technology for Data Analytics, USYD or UNSW ? Where can I be offered jobs easily?","Which is the best university in Sydney for a master’s in Information Technology for Data Analytics, USYD or UNSW ? Where can I be offered jobs easily?",,
286,How difficult is it to enter UNSW when in the CBSE curriculum from Singapore?,How difficult is it to enter UNSW when in the CBSE curriculum from Singapore?,,
287,"Which university should I choose, one with a general high reputation but in a not so prosperous city or UNSW in Sydney for a double degree of advanced math and finance?","Which university should I choose, one with a general high reputation but in a not so prosperous city or UNSW in Sydney for a double degree of advanced math and finance?","I don’t know specifically about the maths and finance offerings of UNSW or its competitors, so I will speak in general terms about universities and their reputations. UNSW has a generally high reputation, if that’s what matters to you. It is ranked 49th in the world in the QS rankings and 78th in the world in the Times Higher Education Rankings, and is a member of the Group of Eight, which tends to be considered the most prestigious group of universities in Australia. None I wonder which university you might be comparing UNSW with. In Australia, the universities that might tussle over who has the highest reputation are probably ANU, UQ, Monash and the Uni of Melbourne — all in prosperous, thriving cities. Good universities in cities with weaker economies include JCU and U. Tas., but neither would be likely to beat UNSW in overall reputation. Both Townsville and Hobart, despite weaker economies, are great lifestyle choices — I’m about to move to Townsville myself! Another possibility is that your second option is a global top 50 university in another country. Looking at the listings, this suggests an American ivy league university, since as far as I can see, the Australian, European and Asian universities that make the list are all in thriving cities. If the fees are not an issue and you have the opportunity to attend an ivy league university, I think you should take that opportunity. ",living
288,"Which is better from job perspective, ANU (master’s in computing-AI), UNSW (master’s in IT-AI) or University of Sydney (MIT/MITM)?","Which is better from job perspective, ANU (master’s in computing-AI), UNSW (master’s in IT-AI) or University of Sydney (MIT/MITM)?",,
289,"How difficult it is to get a PhD in UNSW that provides stipend of $40,000, and is this stipend enough to live a decent life in Australia?","How difficult it is to get a PhD in UNSW that provides stipend of $40,000, and is this stipend enough to live a decent life in Australia?",,
290,"Which is better for psychology, UNSW or University of Queensland? I have an offer for direct honors with UQ.","Which is better for psychology, UNSW or University of Queensland? I have an offer for direct honors with UQ.",,
291,How is the Master of Engineering in Electrical program in UNSW?,How is the Master of Engineering in Electrical program in UNSW?,,
292,"What is the scope of development studies, and what job opportunities and packages can I expect? I have applied for it in UNSW, Australia.","What is the scope of development studies, and what job opportunities and packages can I expect? I have applied for it in UNSW, Australia.",,
293,What are the chances for an international medical student graduating from University of Tasmania (UTAS) or University of New South Wales (UNSW) to be allowed to work as a medical doctor in Australia?,What are the chances for an international medical student graduating from University of Tasmania (UTAS) or University of New South Wales (UNSW) to be allowed to work as a medical doctor in Australia?,,
294,I got admitted to the MSc Civil Engineering (Transport) in both TU Delft and UNSW Sydney. Which one do you recommend (regarding quality of education and post-working opportunities)?,I got admitted to the MSc Civil Engineering (Transport) in both TU Delft and UNSW Sydney. Which one do you recommend (regarding quality of education and post-working opportunities)?,"Definitely TU Delft. UNSW is good no doubt, but Delft has a very good infrastructure and opportunities, specially for technical courses. I'm not from a civil engineering background, but at my time when finding architecture courses, I did find that Delft is a very good institute for engineering, specially because they are constantly reviewing and revising their course structure and content with time and modern day developments. Rest I'd suggest you talk to the alumni of both the institutes and also faculty members to get a better idea. Best of luck! ",living
295,What are the chances of getting a job in Australia after completing a 1.5 year PG course at UNSW?,What are the chances of getting a job in Australia after completing a 1.5 year PG course at UNSW?,,
296,I'm a first year student at UNSW and I want to put my degree on hold and teach English somewhere in Asia. How do I go about this.?,I'm a first year student at UNSW and I want to put my degree on hold and teach English somewhere in Asia. How do I go about this.?,,
297,"Are the job prospects bleak for Indian international students even if they are studying BSc Computer Science in top Australian universities - UNSW, ANU, UMelbourne, USYD etc?","Are the job prospects bleak for Indian international students even if they are studying BSc Computer Science in top Australian universities - UNSW, ANU, UMelbourne, USYD etc?","Hi Vishal, thanks for the A2A. There is no direct answer to this question. I have answered a similar question before on quora. The job opportunities depend on a lot of factors including your skill sets, residency status and networking capabilities. Assuming you are an undergraduate student, the employers will also place an emphasis on your grades as they reflect your academic capabilities. Being Indian has nothing to do with job prospects. It's just that, sometimes some positions require you to be a permanent resident of Au/Nz. I hope this helps. ",living
298,"How long does it take to get an offer letter from a conditional offer in ANU, UNSW, Syd., and Monash?","How long does it take to get an offer letter from a conditional offer in ANU, UNSW, Syd., and Monash?",,
299,"Is Richard Buckland still teaching at UNSW? If yes, is it possible that I just enroll in his course?","Is Richard Buckland still teaching at UNSW? If yes, is it possible that I just enroll in his course?",,
300,"In which university is it better to pursue graduate studies for Indian students, UNSW Canberra or University of Waterloo in Canada, in terms of environment, isolation factor, weather, and better international student community?","In which university is it better to pursue graduate studies for Indian students, UNSW Canberra or University of Waterloo in Canada, in terms of environment, isolation factor, weather, and better international student community?",,
301,How can a Singaporean UNSW graduate (majoring in accounting and finance) find a job in the USA after graduation?,How can a Singaporean UNSW graduate (majoring in accounting and finance) find a job in the USA after graduation?,,
